Vehicle,Origin,Destination,Time
498,0,33,1.666667
499,32,33,1.666667
500,54,33,0.616667
501,19,33,0.816667
502,22,33,0.400000
503,34,33,1.483333
504,24,34,1.500000
505,8,34,1.666667
506,54,34,0.983333
507,49,34,1.666667
508,48,34,0.933333
509,33,34,0.550000
510,46,34,0.650000
511,56,34,1.666667
512,37,34,1.666667
513,12,37,1.666667
514,24,37,1.666667
515,0,37,1.666667
516,2,37,1.666667
517,32,37,0.300000
518,54,37,1.666667
519,49,37,1.666667
520,48,37,0.283333
521,19,37,1.666667
522,22,37,1.666667
523,34,37,1.550000
524,46,37,1.666667
525,56,37,1.633333
526,11,37,1.666667
527,23,37,1.133333
528,12,46,1.666667
529,24,46,1.666667
530,0,46,1.666667
531,32,46,1.666667
532,54,46,0.616667
533,49,46,1.666667
534,9,46,1.666667
535,33,46,0.483333
536,3,48,1.666667
537,24,48,1.666667
538,0,48,1.666667
539,2,48,1.666667
540,8,48,1.666667
541,18,48,1.666667
542,49,48,1.666667
543,9,48,1.666667
544,19,48,1.666667
545,22,48,1.666667
546,56,48,1.450000
547,11,48,1.666667
548,21,48,1.400000
549,23,48,1.666667
550,37,48,0.350000
551,3,53,1.666667
552,49,53,1.666667
553,22,53,1.350000
554,46,53,0.466667
555,37,53,1.666667
556,3,54,1.666667
557,12,54,1.666667
558,24,54,1.666667
559,0,54,1.666667
560,18,54,1.666667
561,32,54,1.666667
562,49,54,1.666667
563,48,54,1.666667
564,9,54,1.666667
565,19,54,1.666667
566,22,54,1.666667
567,33,54,0.816667
568,34,54,1.666667
569,46,54,0.616667
570,16,54,1.666667
571,56,54,1.666667
572,11,54,1.666667
573,37,54,1.666667
574,3,55,1.450000
575,12,55,1.666667
576,32,55,1.666667
577,48,55,1.666667
578,9,55,0.766667
579,16,55,0.866667
580,56,55,1.666667
581,3,56,1.666667
582,24,56,1.666667
583,0,56,1.666667
584,2,56,1.666667
585,8,56,1.666667
586,18,56,1.666667
587,32,56,1.666667
588,54,56,1.033333
589,1,56,1.666667
590,49,56,1.666667
591,48,56,0.666667
592,9,56,1.666667
593,19,56,1.666667
594,22,56,1.666667
595,33,56,1.666667
596,34,56,0.966667
597,46,56,0.583333
598,6,56,1.666667
599,16,56,1.666667
600,56,56,0.000000
601,11,56,1.666667
602,21,56,1.666667
603,23,56,1.666667
604,37,56,1.666667
605,55,56,1.666667
606,3,0,1.050000
607,12,0,1.650000
608,24,0,1.650000
609,2,0,1.650000
610,8,0,1.500000
611,18,0,1.650000
612,32,0,1.650000
613,54,0,1.650000
614,1,0,1.650000
615,48,0,1.650000
616,9,0,0.600000
617,19,0,1.650000
618,22,0,1.650000
619,34,0,1.650000
620,46,0,1.650000
621,6,0,1.083333
622,16,0,1.650000
623,56,0,1.650000
624,21,0,1.650000
625,55,0,1.650000
626,3,2,1.650000
627,24,2,1.650000
628,8,2,0.483333
629,18,2,1.650000
630,32,2,1.650000
631,1,2,1.650000
632,48,2,1.650000
633,34,2,1.650000
634,16,2,1.650000
635,56,2,1.650000
636,11,2,1.466667
637,21,2,1.650000
638,55,2,1.650000
639,0,3,0.450000
640,2,3,1.650000
641,8,3,1.650000
642,18,3,1.650000
643,32,3,1.650000
644,54,3,1.650000
645,1,3,1.650000
646,48,3,1.650000
647,9,3,0.600000
648,19,3,1.650000
649,22,3,1.650000
650,33,3,1.650000
651,6,3,1.200000
652,16,3,1.650000
653,56,3,1.650000
654,11,3,1.650000
655,21,3,1.650000
656,3,6,1.250000
657,0,6,0.550000
658,8,6,0.400000
659,48,6,1.650000
660,11,6,1.633333
661,21,6,1.650000
662,3,8,1.650000
663,24,8,1.650000
664,0,8,1.650000
665,2,8,1.433333
666,1,8,1.650000
667,48,8,1.650000
668,9,8,1.650000
669,22,8,1.650000
670,6,8,0.566667
671,56,8,1.650000
672,11,8,1.450000
673,3,9,1.266667
674,12,9,1.433333
675,24,9,1.650000
676,0,9,0.533333
677,18,9,1.650000
678,54,9,1.650000
679,48,9,1.650000
680,3,11,1.650000
681,24,11,1.650000
682,0,11,1.650000
683,2,11,1.483333
684,8,11,0.533333
685,32,11,1.650000
686,48,11,1.650000
687,33,11,1.650000
688,6,11,0.616667
689,56,11,1.650000
690,21,11,0.516667
691,55,11,1.650000
692,24,12,1.650000
693,0,12,1.650000
694,18,12,1.650000
695,54,12,1.650000
696,48,12,1.650000
697,9,12,0.583333
698,19,12,0.616667
699,22,12,1.133333
700,11,12,1.650000
701,37,12,1.650000
702,55,12,1.500000
703,12,16,1.650000
704,24,16,1.650000
705,18,16,1.250000
706,49,16,1.650000
707,34,16,1.650000
708,11,16,0.666667
709,55,16,0.750000
710,3,18,1.650000
711,12,18,1.650000
712,24,18,1.650000
713,0,18,1.650000
714,2,18,1.650000
715,8,18,1.650000
716,32,18,1.650000
717,54,18,1.650000
718,49,18,1.650000
719,48,18,1.650000
720,9,18,1.650000
721,19,18,1.650000
722,22,18,1.650000
723,34,18,1.650000
724,16,18,1.266667
725,56,18,1.650000
726,11,18,0.600000
727,21,18,0.633333
728,23,18,0.950000
729,55,18,1.650000
730,3,19,1.650000
731,12,19,1.400000
732,24,19,1.650000
733,18,19,1.650000
734,32,19,1.650000
735,54,19,1.650000
736,49,19,1.650000
737,22,19,0.316667
738,34,19,1.650000
739,3,21,1.650000
740,2,21,1.650000
741,8,21,1.650000
742,18,21,1.500000
743,32,21,0.900000
744,48,21,1.650000
745,34,21,1.650000
746,6,21,1.650000
747,11,21,0.550000
748,55,21,1.650000
749,12,22,1.650000
750,24,22,1.550000
751,0,22,1.650000
752,2,22,1.650000
753,18,22,1.650000
754,54,22,1.333333
755,48,22,1.650000
756,9,22,1.100000
757,19,22,0.300000
758,33,22,0.533333
759,34,22,1.550000
760,16,22,1.650000
761,56,22,1.650000
762,55,22,1.650000
763,3,23,1.650000
764,2,23,1.650000
765,18,23,1.650000
766,32,23,0.516667
767,48,23,1.233333
768,56,23,1.650000
769,11,23,1.083333
770,21,23,0.316667
771,3,24,1.650000
772,12,24,1.650000
773,24,24,0.000000
774,0,24,1.650000
775,2,24,1.650000
776,8,24,1.650000
777,18,24,1.650000
778,32,24,1.650000
779,54,24,1.266667
780,49,24,1.650000
781,48,24,1.466667
782,19,24,1.183333
783,22,24,0.566667
784,33,24,0.450000
785,34,24,1.366667
786,46,24,1.200000
787,6,24,1.650000
788,16,24,1.650000
789,56,24,1.650000
790,11,24,1.650000
791,37,24,1.650000
792,24,32,1.650000
793,54,32,1.650000
794,49,32,1.650000
795,48,32,1.150000
796,22,32,1.650000
797,46,32,1.650000
798,56,32,1.650000
799,37,32,0.966667
800,55,32,1.650000
801,0,33,1.650000
802,32,33,1.650000
803,54,33,0.683333
804,19,33,0.816667
805,22,33,0.416667
806,34,33,1.533333
807,24,34,1.483333
808,8,34,1.650000
809,54,34,0.983333
810,49,34,1.650000
811,48,34,1.000000
812,33,34,0.566667
813,46,34,0.683333
814,56,34,1.650000
815,37,34,1.650000
816,12,37,1.650000
817,24,37,1.650000
818,0,37,1.650000
819,2,37,1.650000
820,32,37,0.333333
821,54,37,1.650000
822,49,37,1.650000
823,48,37,0.316667
824,19,37,1.650000
825,22,37,1.650000
826,34,37,1.533333
827,46,37,1.650000
828,56,37,1.650000
829,11,37,1.650000
830,23,37,1.116667
831,12,46,1.650000
832,24,46,1.650000
833,0,46,1.650000
834,32,46,1.650000
835,54,46,0.650000
836,49,46,1.650000
837,9,46,1.650000
838,33,46,0.550000
839,3,48,1.650000
840,24,48,1.650000
841,0,48,1.650000
842,2,48,1.650000
843,8,48,1.650000
844,18,48,1.650000
845,49,48,1.650000
846,9,48,1.650000
847,19,48,1.650000
848,22,48,1.650000
849,56,48,1.450000
850,11,48,1.650000
851,21,48,1.650000
852,23,48,1.650000
853,37,48,0.383333
854,3,53,1.650000
855,49,53,1.650000
856,22,53,1.400000
857,46,53,0.500000
858,37,53,1.650000
859,3,54,1.650000
860,12,54,1.650000
861,24,54,1.650000
862,0,54,1.650000
863,18,54,1.650000
864,32,54,1.650000
865,49,54,1.650000
866,48,54,1.650000
867,9,54,1.650000
868,19,54,1.650000
869,22,54,1.650000
870,33,54,0.833333
871,34,54,1.650000
872,46,54,0.633333
873,16,54,1.650000
874,56,54,1.650000
875,11,54,1.650000
876,37,54,1.650000
877,3,55,1.483333
878,12,55,1.650000
879,32,55,1.650000
880,48,55,1.650000
881,9,55,0.816667
882,16,55,0.950000
883,56,55,1.650000
884,3,56,1.650000
885,24,56,1.650000
886,0,56,1.650000
887,2,56,1.650000
888,8,56,1.650000
889,18,56,1.650000
890,32,56,1.650000
891,54,56,1.033333
892,1,56,1.650000
893,49,56,1.650000
894,48,56,0.683333
895,9,56,1.650000
896,19,56,1.650000
897,22,56,1.650000
898,33,56,1.650000
899,34,56,0.966667
900,46,56,0.633333
901,6,56,1.650000
902,16,56,1.650000
903,56,56,0.000000
904,11,56,1.650000
905,21,56,1.650000
906,23,56,1.650000
907,37,56,1.650000
908,55,56,1.650000
909,3,0,1.050000
910,12,0,1.633333
911,24,0,1.633333
912,2,0,1.633333
913,8,0,1.533333
914,18,0,1.633333
915,32,0,1.633333
916,54,0,1.633333
917,1,0,1.633333
918,48,0,1.633333
919,9,0,0.650000
920,19,0,1.633333
921,22,0,1.633333
922,34,0,1.633333
923,46,0,1.633333
924,6,0,1.066667
925,16,0,1.633333
926,56,0,1.633333
927,21,0,1.633333
928,55,0,1.633333
929,3,2,1.633333
930,24,2,1.633333
931,8,2,0.516667
932,18,2,1.633333
933,32,2,1.633333
934,1,2,1.633333
935,48,2,1.633333
936,34,2,1.633333
937,16,2,1.633333
938,56,2,1.633333
939,11,2,1.466667
940,21,2,1.633333
941,55,2,1.633333
942,0,3,0.450000
943,2,3,1.633333
944,8,3,1.633333
945,18,3,1.633333
946,32,3,1.633333
947,54,3,1.633333
948,1,3,1.633333
949,48,3,1.633333
950,9,3,0.650000
951,19,3,1.633333
952,22,3,1.633333
953,33,3,1.633333
954,6,3,1.200000
955,16,3,1.633333
956,56,3,1.633333
957,11,3,1.633333
958,21,3,1.633333
959,3,6,1.250000
960,0,6,0.583333
961,8,6,0.433333
962,48,6,1.633333
963,11,6,1.633333
964,21,6,1.633333
965,3,8,1.633333
966,24,8,1.633333
967,0,8,1.633333
968,2,8,1.416667
969,1,8,1.633333
970,48,8,1.633333
971,9,8,1.633333
972,22,8,1.633333
973,6,8,0.600000
974,56,8,1.633333
975,11,8,1.450000
976,3,9,1.266667
977,12,9,1.450000
978,24,9,1.633333
979,0,9,0.583333
980,18,9,1.633333
981,54,9,1.633333
982,48,9,1.633333
983,3,11,1.633333
984,24,11,1.633333
985,0,11,1.633333
986,2,11,1.483333
987,8,11,0.566667
988,32,11,1.633333
989,48,11,1.633333
990,33,11,1.633333
991,6,11,0.633333
992,56,11,1.633333
993,21,11,0.566667
994,55,11,1.633333
995,24,12,1.633333
996,0,12,1.633333
997,18,12,1.633333
998,54,12,1.633333
999,48,12,1.633333
1000,9,12,0.633333
1001,19,12,0.666667
1002,22,12,1.200000
1003,11,12,1.633333
1004,37,12,1.633333
1005,55,12,1.500000
1006,12,16,1.633333
1007,24,16,1.633333
1008,18,16,1.250000
1009,49,16,1.633333
1010,34,16,1.633333
1011,11,16,0.716667
1012,55,16,0.783333
1013,3,18,1.633333
1014,12,18,1.633333
1015,24,18,1.633333
1016,0,18,1.633333
1017,2,18,1.633333
1018,8,18,1.633333
1019,32,18,1.633333
1020,54,18,1.633333
1021,49,18,1.633333
1022,48,18,1.633333
1023,9,18,1.633333
1024,19,18,1.633333
1025,22,18,1.633333
1026,34,18,1.633333
1027,16,18,1.266667
1028,56,18,1.633333
1029,11,18,0.650000
1030,21,18,0.683333
1031,23,18,0.966667
1032,55,18,1.633333
1033,3,19,1.633333
1034,12,19,1.400000
1035,24,19,1.633333
1036,18,19,1.633333
1037,32,19,1.633333
1038,54,19,1.633333
1039,49,19,1.633333
1040,22,19,0.350000
1041,34,19,1.633333
1042,3,21,1.633333
1043,2,21,1.633333
1044,8,21,1.633333
1045,18,21,1.500000
1046,32,21,0.983333
1047,48,21,1.633333
1048,34,21,1.633333
1049,6,21,1.633333
1050,11,21,0.600000
1051,55,21,1.633333
1052,12,22,1.633333
1053,24,22,1.533333
1054,0,22,1.633333
1055,2,22,1.633333
1056,18,22,1.633333
1057,54,22,1.383333
1058,48,22,1.633333
1059,9,22,1.133333
1060,19,22,0.333333
1061,33,22,0.566667
1062,34,22,1.550000
1063,16,22,1.633333
1064,56,22,1.633333
1065,55,22,1.633333
1066,3,23,1.633333
1067,2,23,1.633333
1068,18,23,1.633333
1069,32,23,0.583333
1070,48,23,1.250000
1071,56,23,1.633333
1072,11,23,1.133333
1073,21,23,0.350000
1074,3,24,1.633333
1075,12,24,1.633333
1076,24,24,0.000000
1077,0,24,1.633333
1078,2,24,1.633333
1079,8,24,1.633333
1080,18,24,1.633333
1081,32,24,1.633333
1082,54,24,1.266667
1083,49,24,1.633333
1084,48,24,1.583333
1085,19,24,1.633333
1086,22,24,0.650000
1087,33,24,0.466667
1088,34,24,1.350000
1089,46,24,1.200000
1090,6,24,1.633333
1091,16,24,1.633333
1092,56,24,1.633333
1093,11,24,1.633333
1094,37,24,1.633333
1095,24,32,1.633333
1096,54,32,1.633333
1097,49,32,1.633333
1098,48,32,1.166667
1099,22,32,1.633333
1100,46,32,1.633333
1101,56,32,1.633333
1102,37,32,0.966667
1103,55,32,1.633333
1104,0,33,1.633333
1105,32,33,1.633333
1106,54,33,0.716667
1107,19,33,0.883333
1108,22,33,0.433333
1109,34,33,1.633333
1110,24,34,1.466667
1111,8,34,1.633333
1112,54,34,1.000000
1113,49,34,1.633333
1114,48,34,1.016667
1115,33,34,0.583333
1116,46,34,0.700000
1117,56,34,1.633333
1118,37,34,1.633333
1119,12,37,1.633333
1120,24,37,1.633333
1121,0,37,1.633333
1122,2,37,1.633333
1123,32,37,0.383333
1124,54,37,1.633333
1125,49,37,1.633333
1126,48,37,0.350000
1127,19,37,1.633333
1128,22,37,1.633333
1129,34,37,1.533333
1130,46,37,1.633333
1131,56,37,1.633333
1132,11,37,1.633333
1133,23,37,1.116667
1134,12,46,1.633333
1135,24,46,1.633333
1136,0,46,1.633333
1137,32,46,1.633333
1138,54,46,0.666667
1139,49,46,1.633333
1140,9,46,1.633333
1141,33,46,0.566667
1142,3,48,1.633333
1143,24,48,1.633333
1144,0,48,1.633333
1145,2,48,1.633333
1146,8,48,1.633333
1147,18,48,1.633333
1148,49,48,1.633333
1149,9,48,1.633333
1150,19,48,1.633333
1151,22,48,1.633333
1152,56,48,1.450000
1153,11,48,1.633333
1154,21,48,1.633333
1155,23,48,1.633333
1156,37,48,0.400000
1157,3,53,1.633333
1158,49,53,1.633333
1159,22,53,1.400000
1160,46,53,0.516667
1161,37,53,1.633333
1162,3,54,1.633333
1163,12,54,1.633333
1164,24,54,1.633333
1165,0,54,1.633333
1166,18,54,1.633333
1167,32,54,1.633333
1168,49,54,1.633333
1169,48,54,1.633333
1170,9,54,1.633333
1171,19,54,1.633333
1172,22,54,1.633333
1173,33,54,0.850000
1174,34,54,1.633333
1175,46,54,0.650000
1176,16,54,1.633333
1177,56,54,1.633333
1178,11,54,1.633333
1179,37,54,1.633333
1180,3,55,1.516667
1181,12,55,1.633333
1182,32,55,1.633333
1183,48,55,1.633333
1184,9,55,0.900000
1185,16,55,1.050000
1186,56,55,1.633333
1187,3,56,1.633333
1188,24,56,1.633333
1189,0,56,1.633333
1190,2,56,1.633333
1191,8,56,1.633333
1192,18,56,1.633333
1193,32,56,1.633333
1194,54,56,1.050000
1195,1,56,1.633333
1196,49,56,1.633333
1197,48,56,0.700000
1198,9,56,1.633333
1199,19,56,1.633333
1200,22,56,1.633333
1201,33,56,1.633333
1202,34,56,1.000000
1203,46,56,0.666667
1204,6,56,1.633333
1205,16,56,1.633333
1206,56,56,0.000000
1207,11,56,1.633333
1208,21,56,1.633333
1209,23,56,1.633333
1210,37,56,1.633333
1211,55,56,1.633333
1212,3,0,1.033333
