Time,Mean,Mean+SD,Mean-SD,SD
318,0.003355,0.003355,0.003355,0.000000
319,0.003356,0.003356,0.003356,0.000000
320,0.003356,0.003356,0.003356,0.000000
321,0.003356,0.003356,0.003356,0.000000
322,0.003356,0.003356,0.003356,0.000000
323,0.003355,0.003355,0.003355,0.000000
324,0.003354,0.003354,0.003354,0.000000
325,0.003349,0.003349,0.003349,0.000000
326,0.003343,0.003343,0.003343,0.000000
327,0.003339,0.003339,0.003339,0.000000
